id;client_id;marca;carro;modelo;year;color;plate;chassis;km;fuel_type;notes;is_active;created_at;updated_at;versao;ultimo_km;origem_contato
;16669;FIAT;ARGO DRIVE 1.0;FIAT/ARGO DRIVE 1.0;20|21;PRATA;RFQ0F18;9BD358A4NMYK63676;;6343;;;;;;;
;16670;CITROEN;C4CACTUS FEEL AT;;21|22;;RTF5I22;;;3975;;;;;;;
;16671;FIAT;ARGO 1.0;;22|23;;SHB8I55;;;3975;;;;;;;
;16672;FIAT;PULSE AUDACE TF200;;22|22;;RUA9G47;;;3975;;;;;;;
;16673;VW;VW/GOL ;1.0;20|21;CINZA;RFX3F06;9BWAG45U7MT080930;;6213;;;;;;;
;16674;RENAULT;SANDERO LIFE10MT;1.0 12V;21|21;BRANCA;QXU7D97;93Y5SRZ85MJ433687;;6343;;;;;;;
;16675;HYUNDAI;HB20 10M VISION;;21|22;;RTM4A90;;;3975;;;;;;;
;16676;HYUNDAI;HB20X 16A EVOLUT;;21|22;;RNY2I65;;;3975;;;;;;;
;16677;CHEV/ONIX PLUS 10MT LT2;CHEV/ONIX PLUS 10MT LT2;CHEV/ONIX PLUS 10MT LT2;21|21;BRANCA;RME2B16;9BGEB69A0MG166167;;3975;;;;;;;
;16678;;STRADA FREEDOM 13CS;;21|22;;RTJ7F41;;;3975;;;;;;;
;16679;VW;VW/GOL ;1.0;20|21;PRATA;RMF5D79;9BWAG45U7MT103980;;6455;;;;;;;
;16680;HYUNDAI;HB20 10M SENSE;;22|22;;GGK7I54;;;3975;;;;;;;
;16681;PEUGEOT;2008 ALLURE EAT6;;21|22;;RTG5D04;;;3975;;;;;;;
;16682;RENAULT;LOGAN ZEN10MT;RENAULT/LOGAN ZEN10MT;20|21;BRANCA;QXV3E35;93Y4SRZ85MJ432294;;6343;;;;;;;
;16683;RENAULT;SANDERO ZEN10MT;RENAULT/SANDERO ZEN10MT;19|20;BRANCA;QUQ2929;93Y5SRZ85LJ130135;;6213;;;;;;;
;16684;VW;GOL 1.0L MC4;;20|21;PRATA;RFJ5F46;9BWAG45U4MT047092;;6343;;;;;;;
;16685;PEUGEOT;2008 ALLURE EAT6;;21|22;;RTB8H75;;;3975;;;;;;;
;16686;FIAT;ARGO DRIVE 1.0;;22|23;;RUS8E47;;;3975;;;;;;;
;16687;PEUGEOT;208 LIKE MT;;21|22;;RNV3G06;;;3975;;;;;;;
;16688;FIAT;ARGO 1.0;;21|22;;RNW2E55;;;3975;;;;;;;
;16689;FIAT;FIORINO 1.4 8V EVO;FIAT/FIORINO ENDURANCE;21|22;BRANCA;GCY7B39;9BD2651MHM9174224;;1301;;;;;;;
;16690;FIAT;ARGO 1.0;FIAT/ARGO 1.0;21|21;PRATA;RNA6J18;9BD358A1NMYL27366;;6343;;;;;;;
;16691;FIAT;FIAT/PALIO ATTRACTIV 1.4;1.4;12|13;PRETA;FAX9158;9BD196272D2122713;;6589;;;;;;;
;16692;RENAULT;LOGAN ZEN10MT;RENAULT/LOGAN ZEN10MT;19|20;BRANCA;QUW2018;93Y4SRZ85LJ176647;;6218;;;;;;;
;16693;GM;CHEV/ONIX JOY;CHEV/ONIX JOY;19|20;PRATA;QUZ8025;9BGKL48U0LB151201;;6343;;;;;;;
;16694;HYUNDAI;HB20 10M VISION;;22|22;;RUJ2J40;;;5664;;;;;;;
;16695;RENAULT;RENAULT/KWID ZEN 10MT;1.0;20|21;BRANCA;QXL3014;93YRBB008MJ350960;;6366;;;;;;;
;16696;FIAT;ARGO 1.0;;21|22;;RTB2C66;;;6537;;;;;;;
